0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:10 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:10 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:10 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:10 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:10 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:30:13 -0800] "GET /Flour/images/icon_3.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/images/icon_3.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:32:51 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1963
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/images/icon_1.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/images/icon_6.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/images/icon_5.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/images/icon_4.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/images/icon_3.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/images/icon_2.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/images/icon_8.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/images/icon_7.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:33:11 -0800] "GET /Flour/images/icon_9.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/index.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [25/Dec/2017:22:35:46 -0800] "GET /Flour/images/login_05.gif HTTP/1.1" 304 -
